FA년도,구단명,선수명,세부 포지션,투,구분,FA등급,플레이년도,나이,게임수,선발등판,구원등판,승리,패전,세이브,블론세이브,홀드,블론홀드,이닝수,자책점,피안타,2루타허용,3루타허용,피홈런,볼넷허용,사구허용,탈삼진,폭투,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,잔류 여부,FA 계약 연수,FA 계약 총액
2013,한화,마일영,RP,좌투,신규,A,2012,31.0,55.0,2.0,53.0,2.0,3.0,1.0,0.0,6.0,0.0,61.2,38.0,86.0,14.0,3.0,6.0,18.0,2.0,31.0,9.0,5.55,4.39,6.1,55.1,0.0,-0.57,-0.57,10000.0,고졸,잔류,3.0,8.0
2014,한화,마일영,RP,좌투,FA 1년차,A,2013,32.0,13.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,12.1,9.0,17.0,0.0,0.0,1.0,6.0,2.0,6.0,0.0,6.57,5.56,1.2,10.2,-0.14,0.07,-0.07,15000.0,고졸,잔류,0.0,0.0
2014,키움,마정길,CP,우언,신규,A,2013,34.0,29.0,0.0,29.0,4.0,1.0,1.0,1.0,1.0,0.0,33.0,15.0,32.0,5.0,1.0,1.0,18.0,3.0,31.0,0.0,4.09,3.69,0.0,33.0,0.0,0.26,0.26,7000.0,대졸,잔류,0.0,0.0
2015,키움,마정길,RP,우언,신규,A,2014,35.0,55.0,0.0,55.0,3.0,3.0,0.0,0.0,7.0,1.0,64.0,34.0,57.0,9.0,0.0,9.0,30.0,12.0,55.0,2.0,4.78,5.81,0.0,64.0,0.0,1.52,1.52,8800.0,대졸,잔류,0.0,0.0
2016,키움,마정길,RP,우언,신규,A,2015,36.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1,21.0,36.0,9.0,0.0,4.0,17.0,6.0,33.0,1.0,5.06,5.07,0.0,37.1,0.0,0.56,0.56,14000.0,대졸,잔류,2.0,6.2
2017,키움,마정길,RP,우언,FA 1년차,A,2016,37.0,61.0,0.0,61.0,6.0,1.0,0.0,0.0,12.0,1.0,63.2,29.0,61.0,16.0,2.0,10.0,34.0,4.0,52.0,1.0,4.1,5.92,0.0,63.2,0.0,1.36,1.36,20000.0,대졸,잔류,0.0,0.0
2011,한화,박정진,CP,좌투,신규,A,2010,34.0,56.0,0.0,56.0,2.0,4.0,10.0,4.0,6.0,0.0,79.1,27.0,58.0,6.0,0.0,3.0,36.0,3.0,80.0,4.0,3.06,2.99,0.0,79.1,0.0,2.34,2.34,3500.0,대졸,잔류,0.0,0.0
2012,한화,박정진,RP,좌투,신규,A,2011,35.0,64.0,0.0,64.0,7.0,6.0,7.0,1.0,16.0,0.0,86.0,31.0,70.0,18.0,0.0,6.0,28.0,1.0,92.0,5.0,3.24,2.83,0.0,86.0,0.0,2.33,2.33,7500.0,대졸,잔류,0.0,0.0
2013,한화,박정진,RP,좌투,신규,A,2012,36.0,63.0,0.0,63.0,4.0,4.0,3.0,0.0,12.0,0.0,49.1,30.0,36.0,10.0,0.0,4.0,27.0,0.0,45.0,5.0,5.47,3.8,0.0,49.1,0.0,-0.01,-0.01,13000.0,대졸,잔류,0.0,0.0
2014,한화,박정진,RP,좌투,신규,A,2013,37.0,30.0,0.0,30.0,1.0,5.0,1.0,2.0,6.0,0.0,21.2,14.0,17.0,4.0,0.0,2.0,14.0,1.0,21.0,6.0,5.82,4.62,0.0,21.2,0.0,0.07,0.07,14000.0,대졸,잔류,2.0,8.0
2015,한화,박정진,CP,좌투,FA 1년차,A,2014,38.0,60.0,0.0,60.0,4.0,4.0,9.0,2.0,7.0,0.0,49.1,33.0,54.0,14.0,1.0,5.0,25.0,1.0,51.0,1.0,6.02,4.45,0.0,49.1,0.0,0.48,0.48,20000.0,고졸,잔류,0.0,0.0
2016,한화,박정진,RP,좌투,재자격,A,2015,39.0,76.0,0.0,76.0,6.0,1.0,1.0,1.0,15.0,4.0,96.0,33.0,84.0,12.0,1.0,8.0,39.0,5.0,92.0,7.0,3.09,4.08,0.0,96.0,0.0,2.22,2.22,20000.0,고졸,잔류,0.0,0.0
2017,한화,박정진,RP,좌투,재자격,A,2016,40.0,77.0,1.0,76.0,4.0,4.0,0.0,1.0,6.0,1.0,84.0,52.0,96.0,14.0,1.0,11.0,33.0,2.0,85.0,9.0,5.57,4.49,1.0,83.0,0.0,0.43,0.43,30000.0,고졸,잔류,0.0,0.0
